carname,starttime,endtime,startlat,startlon,endlat,endlon,timeintrip,dist,year,week,h3_O,h3_D,Month,Date,Year,Hour
EdF8PfaFYJHDxCTQpTzLE9473zg,2022-01-03 07:48:48,2022-01-03 08:05:41,13.727536440273562,100.53141581722026,13.74010125414402,100.51036159984372,1013.0,3385.0,2022,157,8864a4b141fffff,8864a4b10bfffff,1,2022-01-03,2022,7
1/hieGnUy2bPIHUsPnW2THwnZoE,2022-01-03 07:35:52,2022-01-03 07:52:52,13.668051196627877,100.63983000439256,13.64833120595038,100.5966271143725,1020.0,8453.0,2022,157,8864a48613fffff,8864a486dbfffff,1,2022-01-03,2022,7
AgWhz/Ecx6JdxHoXeJz3fRZtSHU,2022-01-03 07:29:20,2022-01-03 08:08:34,13.798980278632085,100.56673811052762,13.803518045686276,100.53948576125734,2354.0,6107.0,2022,157,8864a4ba0dfffff,8864a4ba39fffff,1,2022-01-03,2022,7
Kp+TGjlWAVoL/gEaTLQC+QDQQis,2022-01-03 07:13:48,2022-01-03 07:28:48,13.771434794221808,100.62153870363468,13.754848850201812,100.61415013224888,900.0,2737.0,2022,157,8864a485ddfffff,8864a484e5fffff,1,2022-01-03,2022,7
Kp+TGjlWAVoL/gEaTLQC+QDQQis,2022-01-03 07:46:48,2022-01-03 08:11:48,13.679993258198378,100.6369506185318,13.703979749597131,100.63675073699484,1500.0,3321.0,2022,157,8864a486e9fffff,8864a4845bfffff,1,2022-01-03,2022,7
u0pi/I2bmGhdZmR3YS1EszCYoOg,2022-01-03 07:54:52,2022-01-03 08:05:34,13.711906628052402,100.42332338154168,13.729783822297495,100.49420304462248,642.0,10072.0,2022,157,8864a4b0a9fffff,8864a4b119fffff,1,2022-01-03,2022,7
Z2UMjbkPsvlzZ1D8J2CaZDUw3n0,2022-01-03 07:38:52,2022-01-03 07:44:52,13.75130014889561,100.61819907895244,13.757069314314402,100.61521060170487,360.0,3187.0,2022,157,8864a48433fffff,8864a485d9fffff,1,2022-01-03,2022,7
ZdS8eGNcafBlz94IAdBJqPs0090,2022-01-03 07:30:38,2022-01-03 07:43:38,13.750282409121374,100.51686331701536,13.780649371128677,100.46072040259162,780.0,9034.0,2022,157,8864a4b107fffff,8864a4b1a5fffff,1,2022-01-03,2022,7
LtoWIGP+n4OoLLP4TjAgk92hNmQ,2022-01-03 07:40:26,2022-01-03 07:51:24,13.814531712753826,100.73365344046448,13.837734565012752,100.66335261488832,658.0,8731.0,2022,157,8864a48e4bfffff,8864a48e89fffff,1,2022-01-03,2022,7
knkXI9RIIiPV9mP9kVvqJYfuDj8,2022-01-03 07:55:29,2022-01-03 08:10:30,13.886597174461665,100.60311945822087,13.988087086884976,100.61586231175448,901.0,14225.0,2022,157,8864a48c9bfffff,8864a41625fffff,1,2022-01-03,2022,7
Ad1a8TWaN25vB8q2wwrhHSg1THQ,2022-01-03 07:42:47,2022-01-03 08:05:47,13.780031665173851,100.50920665589764,13.779165138253772,100.48670220659616,1380.0,3031.0,2022,157,8864a4bac9fffff,8864a4bad1fffff,1,2022-01-03,2022,7
lY2axlYRdRF9hpckBHlH35xq6Gk,2022-01-03 07:38:22,2022-01-03 07:56:22,13.719959786840596,100.53815011773852,13.703578516511866,100.60214318640988,1080.0,8838.0,2022,157,8864a4b149fffff,8864a486b5fffff,1,2022-01-03,2022,7
FgaBhWr5JMzy87voGy6JzMPDYBw,2022-01-03 07:19:46,2022-01-03 07:27:11,13.788832224550134,100.54020175012,13.802700037337384,100.54815069515044,445.0,2770.0,2022,157,8864a4ba1dfffff,8864a4ba07fffff,1,2022-01-03,2022,7
Uhq96UgjzEDx4LvMY+shgR/GWwg,2022-01-03 07:45:21,2022-01-03 07:53:40,13.813610074635676,100.65537269659852,13.773493655440944,100.6464975196824,499.0,5656.0,2022,157,8864a48ed9fffff,8864a485cdfffff,1,2022-01-03,2022,7
