,startlat,startlon,timeintrip,easting,northing,zone_number,zone_letter
30564,13.775547345375,100.477879166786,975,659766.8167762037,1523393.9096206392,47,P
30568,13.7788963814268,100.476568774324,1272,659622.8538610197,1523763.5293818219,47,P
30573,13.7707753858097,100.483896210771,2260,660420.6774718262,1522870.0113989678,47,P
30575,13.7784199602645,100.477107498922,660,659681.4272976142,1523711.1825722181,47,P
30583,13.7844249725874,100.471726982141,600,659095.5909723327,1524371.9244443006,47,P
30587,13.7785284442172,100.477006622705,361,659670.446305556,1523723.1167163425,47,P
30588,13.7694183380332,100.474373763992,1140,659391.9433978321,1522713.5583075527,47,P
30599,13.7521785699847,100.478368040698,480,659835.5510625562,1520809.0454678598,47,P
30617,13.7818277832161,100.473918320311,3192,659334.2853834719,1524086.0599525762,47,P
30626,13.7784583504148,100.477071800987,9315,659677.5413583198,1523715.4058101191,47,P
30650,13.7707997704519,100.483963369718,4093,660427.9226888642,1522872.7537563979,47,P
30663,13.7758270909867,100.47975632449,1620,659969.5976760832,1523426.1044661384,47,P
30692,13.7557868,100.4834002,540,660377.2598380982,1521211.553485991,47,P
30702,13.7578493693836,100.483167184318,1368,660350.657505813,1521439.5720019026,47,P
30707,13.7718987738945,100.483070852281,480,660330.6660974685,1522993.737221938,47,P
30708,13.7650978228548,100.480578454171,1207,660065.7944521705,1522239.7161574876,47,P
30725,13.7650014745204,100.468832505904,600,658795.7519959266,1522221.2773727335,47,P
30736,13.7870622984779,100.467252486416,420,658610.0169062839,1524660.722735015,47,P
30737,13.7639286460226,100.473826121043,420,659336.4453240703,1522105.8951380304,47,P
30743,13.7570828994912,100.461266546775,360,657982.9515512094,1521340.306411519,47,P
30748,13.7620185401059,100.473666776684,480,659320.5083728478,1521894.4831301398,47,P
30752,13.7664018172239,100.487042342949,316,660763.8561699387,1522388.2800500942,47,P
30767,13.7803745,100.4742542,500,659371.587618948,1523925.512056329,47,P
30778,13.7786967109627,100.477046530422,1125,659674.647028222,1523741.7578661076,47,P
30779,13.7772702326316,100.478179928245,508,659798.1659573771,1523584.7053355242,47,P
30781,13.7783770570558,100.477147393425,1704,659685.7700605617,1523706.4628606632,47,P
30793,13.7598474550828,100.479528518336,1379,659955.8319320356,1521658.1919547908,47,P
30805,13.7521858465757,100.480233008233,2157,660037.2193811387,1520811.088533536,47,P
30809,13.7849587821651,100.470454883725,720,658957.6873293536,1524430.135823592,47,P
30816,13.7868205370997,100.466443065488,3717,658522.6645986657,1524633.4437110089,47,P
30833,13.7685689885743,100.482657588417,900,660288.2498332809,1522625.100941185,47,P
30837,13.7871782639857,100.467253233112,540,658610.0193303269,1524673.5519677855,47,P
30853,13.7520825873256,100.478828454677,1740,659885.40431284,1520798.732826625,47,P
30856,13.7830930942971,100.472734687962,1140,659205.4492247681,1524225.251703839,47,P
30866,13.7784740630299,100.477057190262,3224,659675.9508916007,1523717.1343294457,47,P
30877,13.7721903728818,100.483134590728,1389,660337.3592259785,1523026.0381472432,47,P
30879,13.776563995439,100.478840494237,12630,659870.0707158138,1523507.01623462,47,P
30888,13.7682700578353,100.485300122842,600,660574.1920747898,1522593.79316685,47,P
30897,13.756095022027,100.484518369811,539,660497.9643791863,1521246.3956860495,47,P
30898,13.7435942678457,100.468677499611,1790,658793.4271139374,1519852.9971434572,47,P
30908,13.7598612516713,100.479131780131,961,659912.9216070429,1521659.454691666,47,P
